k,state_i,state_j,vi,nmi,ari,q_diff,q_diff_pval
2,0,1,0.1655780684881935,0.7495773695281704,0.6324758742750493,-0.047169392976493474,1.0
3,0,1,0.13438481771875194,0.8247072344542177,0.7028060299652624,0.053526379852020134,1.0
3,0,2,0.16363931014012184,0.7648649646330028,0.6332491139562819,-0.009774084421280027,1.0
3,1,2,0.19490502997940834,0.7308240237466228,0.607983267594462,-0.06330046427330016,1.0
4,0,1,0.19970366522513844,0.7263828723648833,0.5666504684583742,0.044007500520302445,1.0
4,0,2,0.1286623573811128,0.8237938004009923,0.6923448596200983,-0.035306224186445134,1.0
4,0,3,0.05722188846355269,0.9219054215837239,0.9250461464025146,-0.008126670921349333,1.0
4,1,2,0.18947270687546106,0.7390694546608388,0.6787869155107804,-0.07931372470674758,1.0
4,1,3,0.227116832529919,0.6883205170638087,0.5182090877421225,-0.05213417144165178,1.0
4,2,3,0.127198914754747,0.8255164731460453,0.700856521034842,0.0271795532650958,1.0
5,0,1,0.21573093346121613,0.6807264735189367,0.560352849045114,-0.020306882944508553,1.0
5,0,2,0.240482393573639,0.6456568501770866,0.5003961729720173,-0.02484752112498434,1.0
5,0,3,0.2309880323118801,0.6795467460429434,0.5127354502181858,-0.053269043943617866,1.0
5,0,4,0.125016121262655,0.8265940659057798,0.6972976730283631,-0.030983205750902743,1.0
5,1,2,0.2123115139889023,0.6738497412799475,0.5767151015928514,-0.004540638180475787,1.0
5,1,3,0.19237188491727608,0.7224503352355437,0.6243569355130459,-0.03296216099910931,1.0
5,1,4,0.21352716683682196,0.6919849877425887,0.5529456237746406,-0.01067632280639419,1.0
5,2,3,0.15774782072662333,0.7733787532187357,0.692438073522004,-0.028421522818633527,1.0
5,2,4,0.21807585518818148,0.6867689373700966,0.5507911959492071,-0.006135684625918403,1.0
5,3,4,0.1368329573653586,0.8146798159950736,0.7262500527081268,0.022285838192715124,1.0
6,0,1,0.19038285648699566,0.728029568232961,0.5835604896933471,-0.0032988369503128556,1.0
6,0,2,0.2084777409659975,0.6579958563943942,0.5434226828196611,0.04852048785313001,1.0
6,0,3,0.23905258790372863,0.6572235178907233,0.5178913792749554,-0.0036603275208221264,1.0
6,0,4,0.202920973433981,0.7106631125489369,0.5738390903087343,0.0031249808853408556,1.0
6,0,5,0.24141859566802804,0.6553005234030614,0.4720570818263263,0.01405767459802787,1.0
6,1,2,0.13873547060740876,0.7857498328952827,0.6400498307633171,0.05181932480344287,1.0
6,1,3,0.12471283515653678,0.830406604141606,0.8020031564244603,-0.0003614905705092708,1.0
6,1,4,0.07362795692224854,0.9004077602796026,0.892927001811979,0.006423817835653711,1.0
6,1,5,0.10175111235938417,0.8621888110485604,0.7905968237364536,0.017356511548340725,1.0
6,2,3,0.1588984417528782,0.753618068297692,0.6210940745703751,-0.05218081537395214,1.0
6,2,4,0.1178725837347553,0.8183383142748725,0.6645278652735098,-0.045395506967789157,1.0
6,2,5,0.18025979989940316,0.7217786508273774,0.5633325751448123,-0.03446281325510214,1.0
6,3,4,0.11176543200758085,0.8482853426791831,0.817172955616225,0.006785308406162982,1.0
6,3,5,0.1878017085046592,0.7447391926418765,0.637594125187091,0.017718002118849996,1.0
6,4,5,0.12154858137644094,0.8356685857283045,0.7668444096623723,0.010932693712687014,1.0
7,0,1,0.24318238235246092,0.6675577068002733,0.46479721062534246,0.03992134919438206,1.0
7,0,2,0.19195045291152982,0.7375382940219511,0.5291270040280106,-0.02370745200542035,1.0
7,0,3,0.1564559689662672,0.7947519543927467,0.6068915576148751,-0.02921043960129599,1.0
7,0,4,0.17853716644690906,0.7556347951125464,0.5652421824079702,-0.04528066535200115,1.0
7,0,5,0.2035862045261651,0.7345497766614749,0.5655167912904219,-0.001982895600250667,1.0
7,0,6,0.21614858307236826,0.7024232855327618,0.5794404470461287,-0.030218754171727147,1.0
7,1,2,0.15687060465656413,0.7845711431988385,0.6417645656689481,-0.06362880119980241,1.0
7,1,3,0.23219203442582512,0.6941256615890214,0.4913447262848659,-0.06913178879567805,1.0
7,1,4,0.2103733065585202,0.7108063510310056,0.5615878247926814,-0.08520201454638321,1.0
7,1,5,0.19109868046862116,0.7497983124366783,0.6603632987879633,-0.04190424479463273,1.0
7,1,6,0.17140556787163908,0.7629882141848494,0.6821178995304733,-0.07014010336610921,1.0
7,2,3,0.14757588883281583,0.8055533748965188,0.7155905996431509,-0.005502987595875641,1.0
7,2,4,0.10930584511017861,0.8497084143845925,0.8202717859932083,-0.0215732133465808,1.0
7,2,5,0.19886982528463681,0.7395705051290811,0.6335498750080657,0.02172455640516968,1.0
7,2,6,0.19009853284386063,0.7370837118284872,0.6045856799037594,-0.006511302166306798,1.0
7,3,4,0.08642964672583298,0.8860102315577394,0.8216628685980821,-0.016070225750705158,1.0
7,3,5,0.18969289821554045,0.7612584985529123,0.5800102863774368,0.027227544001045323,1.0
7,3,6,0.25496952752702357,0.6618303356791928,0.44576533833580967,-0.001008314570431157,1.0
7,4,5,0.15560266621439858,0.7960358292147767,0.6979974198068096,0.04329776975175048,1.0
7,4,6,0.19236472796275028,0.7336804297073509,0.6014835666433417,0.015061911180274001,1.0
7,5,6,0.1361202075717988,0.8205730435616371,0.7532802890786484,-0.02823585857147648,1.0
8,0,1,0.18657623335331583,0.7472670704074019,0.6206649906645357,-0.050602797152543566,1.0
8,0,2,0.14760655017346438,0.7996887150312888,0.6962230948629973,0.02738084918005823,1.0
8,0,3,0.12646375708102714,0.8291615519071835,0.7606596081633272,-0.02615189380121563,1.0
8,0,4,0.19237867637437833,0.7397534563222123,0.6479335655717585,-0.03570188565611898,1.0
8,0,5,0.149780843933393,0.7973517480126262,0.716304140183898,-0.016969154923425434,1.0
8,0,6,0.2167126494921599,0.7070983587658726,0.5766299907561745,-0.048007749933507315,1.0
8,0,7,0.12182728625621228,0.8351611952112947,0.7588381502262781,-0.0182479831232103,1.0
8,1,2,0.26117669934602294,0.640841047770525,0.4365459694729599,0.0779836463326018,1.0
8,1,3,0.09787443227735262,0.8660277255543688,0.7955235432134059,0.024450903351327935,1.0
8,1,4,0.2235397914667079,0.6935800070098426,0.5103394992443794,0.014900911496424585,1.0
8,1,5,0.10082500280841039,0.8617739720049781,0.7838055778153464,0.03363364222911813,1.0
8,1,6,0.1594445647277963,0.781638386979459,0.6339393270362923,0.0025950472190362506,1.0
8,1,7,0.14548972843533498,0.8005277010117936,0.6973591238440721,0.03235481402933327,1.0
8,2,3,0.20751411857579377,0.7154255169293321,0.5704702004839418,-0.05353274298127386,1.0
8,2,4,0.20877429321289737,0.7132898608983356,0.5967196963661732,-0.06308273483617721,1.0
8,2,5,0.22901674848376544,0.6854478105095684,0.5346939903506999,-0.044350004103483665,1.0
8,2,6,0.2649028591547866,0.6365403030975544,0.4974575789805636,-0.07538859911356555,1.0
8,2,7,0.14516179310078836,0.8006085555485228,0.6900199650283871,-0.04562883230326853,1.0
8,3,4,0.18676324572119943,0.7446983918492222,0.6216618592683115,-0.00954999185490335,1.0
8,3,5,0.05760826606913696,0.9212399276367716,0.9233493538068486,0.009182738877790197,1.0
