node_idx,roi_name,module,participation_coef,within_module_zscore,node_role,pc_z_score,pc_p_value,pc_significant
0,Acumbens_left,1,0.0,0.10738754750473015,1,-10.067191112170569,0.0,True
1,AID_left,2,0.4355606937569262,-0.4757753263126037,2,-5.773501064601447,0.001,True
2,AIP_left,3,0.4754658634664475,1.4463582227538956,2,-5.27479924670322,0.003,True
3,AIV_left,1,0.607955342182563,-0.9853734530106665,2,-2.0781703328365153,0.035,True
4,Amygdala_left,3,0.0,0.32969242386452335,1,-7.687590372548515,0.0,True
5,Au1_left,4,0.23712783886483935,-0.2026790413736068,2,-6.376344882532575,0.0,True
6,AUD_left,4,0.0,0.20774796355377695,1,-9.546569605020121,0.0,True
7,AuV_left,4,0.6158332683433456,-1.5395354010126054,2,-0.39323772085733466,0.655,False
8,Brainstem_left,5,0.0,0.09191201228188996,1,-7.573629424838014,0.0,True
9,Cent_Gray_left,5,0.34531376865159424,0.5898838647899284,2,-5.984816837419357,0.0,True
10,Cerebellum_left,5,0.0,-1.6444587512912616,1,-5.05451398006037,0.008,True
11,Cg_left,1,0.0,0.7429867583211128,1,-11.591041565784227,0.0,True
12,DI_left,2,0.5169324011985208,-0.8586436764042963,2,-4.5333103714886045,0.002,True
13,DLEnt_left,5,0.15940840268924372,1.3248829361181285,2,-8.127348078688046,0.001,True
14,Ect_left,5,0.0,0.17646235010599376,1,-9.55205918792113,0.0,True
15,Fr3_left,2,0.21627618212218847,-0.9450653245995413,2,-6.649917275050663,0.0,True
16,GIDI_left,3,0.6690514288910057,-1.2978178710936963,3,-0.2146252688652383,0.921,False
17,GI_left,2,0.25127944321971374,0.7633983789883911,2,-10.17724105078978,0.0,True
18,Hipp_CA1_A_left,4,0.30292893951193844,0.4863180886937562,2,-8.051184958693721,0.0,True
19,Hipp_CA2_left,4,0.0,0.34776747426781845,1,-10.177763346491263,0.0,True
20,Hipp_CA3_A_left,4,0.1574069507980428,-0.5503962036872303,2,-6.065185567811051,0.001,True
