k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy,data_type
2,1,,11.894736842105264,0.6284574786044295,0.3739924012134181,0.2901816580535363,A_positive,stim
2,2,,9.912280701754385,0.6276263717070041,0.3369305097625053,0.27749935504618395,A_positive,stim
2,1,,5.947368421052632,0.6393954099937903,0.16805032929111285,0.23207424445203365,A_negative,stim
2,2,,5.947368421052632,0.6582788396626561,0.17402800434289448,0.2142533901309024,A_negative,stim
2,1,,15.859649122807017,0.5976768338205074,0.266537143078088,0.3615418677948552,B,stim
2,2,,13.87719298245614,0.6106663216946564,0.25435099638859177,0.34039836989532946,B,stim
3,1,,9.912280701754385,0.6204867061318582,0.3065780628819902,0.2862749657097112,A_positive,stim
3,2,,11.894736842105264,0.6263940441208526,0.3642283048185248,0.29398804321971633,A_positive,stim
3,3,,7.9298245614035086,0.6293349627255846,0.3028320108099332,0.25580061288956357,A_positive,stim
3,1,,7.9298245614035086,0.6217828925176427,0.21785633135389704,0.2562815065040092,A_negative,stim
3,2,,5.947368421052632,0.6376368533552452,0.16543734684632658,0.2418248747802897,A_negative,stim
3,3,,7.9298245614035086,0.6994402566381648,0.23244643005082186,0.19039648317119534,A_negative,stim
3,1,,15.859649122807017,0.5875273203630275,0.25526738800529114,0.3744791311539865,B,stim
3,2,,15.859649122807017,0.5919946870356491,0.25860340049642805,0.36924739586754973,B,stim
3,3,,13.87719298245614,0.637642953506846,0.28061592423944876,0.31985868696735664,B,stim
4,1,,9.912280701754385,0.6463592573891428,0.34521566071100385,0.27272020934658864,A_positive,stim
4,2,,9.912280701754385,0.622307351318226,0.31492679654288364,0.2840342652652623,A_positive,stim
4,3,,7.9298245614035086,0.6199060207519591,0.3005839544516613,0.25603907816279287,A_positive,stim
4,4,,11.894736842105264,0.6151815529982212,0.3534831873346954,0.297872846179782,A_positive,stim
4,1,,5.947368421052632,0.6582794176598225,0.17277809124781626,0.20726223926889312,A_negative,stim
4,2,,5.947368421052632,0.6337207882652085,0.16863889843235835,0.23623459127454047,A_negative,stim
4,3,,7.9298245614035086,0.7004398333074807,0.23501186525494022,0.19367481910266168,A_negative,stim
4,4,,5.947368421052632,0.6271888124913964,0.16440496691701664,0.25343623149907624,A_negative,stim
4,1,,13.87719298245614,0.6237642029318244,0.2583580930314822,0.3369979940028029,B,stim
4,2,,15.859649122807017,0.5937614232398043,0.2639688058123839,0.36708703075096255,B,stim
4,3,,13.87719298245614,0.6327992596562952,0.27943116425216347,0.31983760836902225,B,stim
4,4,,17.842105263157894,0.583751896104518,0.276847994758543,0.38742490297758225,B,stim
5,1,,9.912280701754385,0.616788092129773,0.35886620367692085,0.2680475179317274,A_positive,stim
5,2,,9.912280701754385,0.6021908953329967,0.286387784157206,0.29416477358211157,A_positive,stim
5,3,,9.912280701754385,0.6322409151501219,0.33565163994448144,0.2728063717159033,A_positive,stim
5,4,,11.894736842105264,0.6342121293971249,0.3844709275613346,0.28913036013511006,A_positive,stim
5,5,,9.912280701754385,0.6402744516140619,0.34207265511267715,0.27740887926398966,A_positive,stim
5,1,,7.9298245614035086,0.6851109159572295,0.23206845364608014,0.1925094303020989,A_negative,stim
5,2,,5.947368421052632,0.6012932810475478,0.15855245574232574,0.2708494106066959,A_negative,stim
5,3,,7.9298245614035086,0.6398950563375093,0.21960697018647332,0.22021093848349596,A_negative,stim
5,4,,7.9298245614035086,0.6512929109148134,0.22831288530913663,0.23344984182013198,A_negative,stim
5,5,,5.947368421052632,0.669757978948401,0.17902617496749682,0.21518166775513486,A_negative,stim
5,1,,15.859649122807017,0.6312913639861255,0.3074202344109384,0.33034449847935343,B,stim
5,2,,17.842105263157894,0.5596293474451874,0.2618271821608973,0.4023539313333298,B,stim
5,3,,15.859649122807017,0.608468361142851,0.2804003047894154,0.35016070921642667,B,stim
5,4,,15.859649122807017,0.6126465817591285,0.27670552159739265,0.35489020128317866,B,stim
5,5,,15.859649122807017,0.621796988830507,0.2874636018110374,0.34851880159194637,B,stim
6,1,,9.912280701754385,0.6167375639617306,0.3495293274971556,0.2713389498417381,A_positive,stim
6,2,,11.894736842105264,0.6280874859077644,0.4175731346594148,0.2766684942367705,A_positive,stim
6,3,,9.912280701754385,0.6188426148657631,0.30076674054799785,0.29000257286150133,A_positive,stim
6,4,,9.912280701754385,0.632151222419145,0.31593764240762434,0.28030807518588685,A_positive,stim
6,5,,9.912280701754385,0.646202569288248,0.36202424316518056,0.26868290566401415,A_positive,stim
6,6,,11.894736842105264,0.612670902512185,0.345705634505919,0.3004028183720296,A_positive,stim
6,1,,7.9298245614035086,0.6678695420047152,0.23080174504132345,0.2031240111336231,A_negative,stim
6,2,,7.9298245614035086,0.7180475013265265,0.23836097664636333,0.1983273085681828,A_negative,stim
6,3,,5.947368421052632,0.6161056718415967,0.16527920451808825,0.2533346858155632,A_negative,stim
6,4,,5.947368421052632,0.6506698370924864,0.16501501332747653,0.23802761700735345,A_negative,stim
6,5,,7.9298245614035086,0.675551139768034,0.23181910224421273,0.19804869863534935,A_negative,stim
6,6,,5.947368421052632,0.6170115103116474,0.1629577442907978,0.2607155561233807,A_negative,stim
6,1,,15.859649122807017,0.6223223664849435,0.2992172473478259,0.3393809316308425,B,stim
6,2,,13.87719298245614,0.6377209429606607,0.2800583094899409,0.32323905700463335,B,stim
6,3,,17.842105263157894,0.5789659523113733,0.27653601429085284,0.3893798157385365,B,stim
6,4,,13.87719298245614,0.5944265158729678,0.23480232129593437,0.35464228378843443,B,stim
6,5,,13.87719298245614,0.6380974360318399,0.27465843538598966,0.3246589823224733,B,stim
6,6,,15.859649122807017,0.577083197799273,0.2442868255748631,0.38523699692124347,B,stim
7,1,,9.912280701754385,0.6214235793857661,0.35930971393947014,0.2696566581981589,A_positive,stim
