k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
7,1,,,,,,A_positive
7,2,,,,,,A_positive
7,3,,,,,,A_positive
7,4,,,,,,A_positive
7,5,,,,,,A_positive
7,6,,,,,,A_positive
7,7,,,,,,A_positive
