k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
8,1,,13.87719298245614,0.6242921613640654,0.27550804951978103,0.3228004301415361,B
8,2,,15.859649122807017,0.591705950672569,0.25867004247411024,0.3701946633888399,B
8,3,,13.87719298245614,0.6320962885884576,0.2654161016623912,0.33442358413587714,B
8,4,,15.859649122807017,0.6089106650249636,0.2707490510598644,0.3609863504115469,B
8,5,,15.859649122807017,0.6287793949196121,0.29877567864062177,0.3399088845884638,B
8,6,,15.859649122807017,0.5657431096412164,0.2402050010777814,0.38947100825479347,B
8,7,,15.859649122807017,0.624937348127783,0.30668830458075425,0.332170123182969,B
8,8,,15.859649122807017,0.5837651975270747,0.25512361185193144,0.37846121947658207,B
