k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
12,1,,7.9298245614035086,0.7169029340437831,0.24141346179209047,0.19005994822186395,A_negative
12,2,,7.9298245614035086,0.6282948428925922,0.2159275280765869,0.23866157723446016,A_negative
12,3,,7.9298245614035086,0.5903476085570725,0.21093493035295927,0.2882270791453686,A_negative
12,4,,5.947368421052632,0.616002851590274,0.1614424503048362,0.2602013983764561,A_negative
12,5,,7.9298245614035086,0.67468969809818,0.24572820280070598,0.21611071937450133,A_negative
12,6,,7.9298245614035086,0.6939183256219624,0.24035413054740387,0.20037243610469124,A_negative
12,7,,7.9298245614035086,0.6207266292422233,0.2156630552491581,0.24781658852134134,A_negative
12,8,,7.9298245614035086,0.647380004671273,0.222529809093079,0.22002497416506808,A_negative
12,9,,7.9298245614035086,0.662479707859642,0.23038738525613953,0.20698330445625662,A_negative
12,10,,5.947368421052632,0.6169087650348165,0.16156378409506555,0.263480925273922,A_negative
12,11,,7.9298245614035086,0.6742258547087393,0.23919530661703314,0.229045787678352,A_negative
12,12,,5.947368421052632,0.6078763784398331,0.15879373935547486,0.26572966478378124,A_negative
