k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
10,1,,15.859649122807017,0.619827955034004,0.30248544488381635,0.33525148233676816,B
10,2,,15.859649122807017,0.6278828480375642,0.30761062211218515,0.33275593184733154,B
10,3,,13.87719298245614,0.6116432176110045,0.2512618441270847,0.3443226193711586,B
10,4,,15.859649122807017,0.5920053016368506,0.2593232396761219,0.374842549704474,B
10,5,,15.859649122807017,0.5778651964491708,0.24386175069125157,0.38360610638834364,B
10,6,,13.87719298245614,0.6442375078562826,0.2853796288374435,0.31940686290407566,B
10,7,,15.859649122807017,0.5977890975154084,0.26787894798367495,0.3633389633809067,B
10,8,,15.859649122807017,0.5601063733638428,0.23858062831018093,0.39410357111220257,B
10,9,,15.859649122807017,0.5816600286962526,0.24637348799754538,0.3835199102903672,B
10,10,,15.859649122807017,0.6152881552097849,0.2843211881808265,0.346998107240094,B
