k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
4,1,,9.912280701754385,0.6463592573891428,0.34521566071100385,0.27272020934658864,A_positive
4,2,,9.912280701754385,0.622307351318226,0.31492679654288364,0.2840342652652623,A_positive
4,3,,7.9298245614035086,0.6199060207519591,0.3005839544516613,0.25603907816279287,A_positive
4,4,,11.894736842105264,0.6151815529982212,0.3534831873346954,0.297872846179782,A_positive
4,1,,5.947368421052632,0.6582794176598225,0.17277809124781626,0.20726223926889312,A_negative
4,2,,5.947368421052632,0.6337207882652085,0.16863889843235835,0.23623459127454047,A_negative
4,3,,7.9298245614035086,0.7004398333074807,0.23501186525494022,0.19367481910266168,A_negative
4,4,,5.947368421052632,0.6271888124913964,0.16440496691701664,0.25343623149907624,A_negative
4,1,,13.87719298245614,0.6237642029318244,0.2583580930314822,0.3369979940028029,B
4,2,,15.859649122807017,0.5937614232398043,0.2639688058123839,0.36708703075096255,B
4,3,,13.87719298245614,0.6327992596562952,0.27943116425216347,0.31983760836902225,B
4,4,,17.842105263157894,0.583751896104518,0.276847994758543,0.38742490297758225,B
