k,state,Q_total,Q_z_score,n_modules,n_significant_modules,percent_significant,interpretation,analysis_time_seconds
11,0,0.5087478909230253,1.471924221844757,72,4,5.555555555555555,NOT SIGNIFICANT,1829.424190044403
11,1,0.6319194441389855,1.9450771039863903,74,6,8.108108108108109,MARGINALLY SIGNIFICANT,722.5309460163116
11,2,0.5120139974682503,1.296802283190079,71,3,4.225352112676056,NOT SIGNIFICANT,764.2868678569794
11,3,0.5572000223544769,1.6303723898961329,72,4,5.555555555555555,NOT SIGNIFICANT,2405.687195777893
11,4,0.5569602279815105,1.6165508906915094,71,4,5.633802816901408,NOT SIGNIFICANT,1243.449646949768
11,5,0.5544756432376852,1.5942176494345706,72,4,5.555555555555555,NOT SIGNIFICANT,3465.3295528888702
11,6,0.5818958512106133,1.6713249805943151,72,4,5.555555555555555,MARGINALLY SIGNIFICANT,685.3224320411682
11,7,0.5495009310542536,1.619798956609777,72,4,5.555555555555555,NOT SIGNIFICANT,739.7438967227936
11,8,0.56687141311084,1.4411021894152203,72,4,5.555555555555555,NOT SIGNIFICANT,851.1507120132446
11,9,0.4968392694338052,1.4505232950703333,72,4,5.555555555555555,NOT SIGNIFICANT,783.7735691070557
11,10,0.5655485052773995,1.5214751074343267,73,5,6.8493150684931505,NOT SIGNIFICANT,1057.9419360160828
