node_idx,roi_name,module,participation_coef,within_module_zscore,node_role,pc_z_score,pc_p_value,pc_significant
0,Acumbens_left,1,0.3936528635576617,0.4671598289318613,2,-6.529995674005076,0.0,True
1,AID_left,2,0.3737686388567132,-0.47011497032009675,2,-7.74899159814407,0.0,True
2,AIP_left,1,0.4385261676554688,0.4550625149835033,2,-6.412208380058955,0.0,True
3,AIV_left,1,0.33219284712495767,0.5223075114985256,2,-8.147041010038343,0.0,True
4,Amygdala_left,1,0.0,0.24284887858285648,1,-13.51756718656101,0.0,True
5,Au1_left,3,0.17567624673627535,-0.26566266651805104,2,-9.325264222341307,0.0,True
6,AUD_left,3,0.11655933132024665,0.6753425545896278,2,-13.658380129373729,0.0,True
7,AuV_left,3,0.4707248955535467,-1.8248755193536457,2,-1.8965898913886883,0.036,True
8,Brainstem_left,4,0.0,0.8112268367821128,1,-10.305718456233246,0.0,True
9,Cent_Gray_left,5,0.5993677806135478,-1.660559025866623,2,-1.7189076597463062,0.054,False
10,Cerebellum_left,4,0.28217171171809585,-2.1070350343434283,2,-3.7566426108662627,0.005,True
11,Cg_left,6,0.0,1.2648841175600125,1,-14.972559576492495,0.0,True
12,DI_left,2,0.45021976334489,-0.6782036404559697,2,-6.164372798470943,0.001,True
13,DLEnt_left,4,0.2941376924167284,0.7500106862154323,2,-7.384475549448071,0.0,True
14,Ect_left,4,0.0,0.7805695603402989,1,-10.78061345455193,0.0,True
15,Fr3_left,2,0.1312550735470135,0.6415413706858148,2,-13.783264076660432,0.0,True
16,GIDI_left,1,0.28047340242288543,-1.1582769785632525,2,-5.213130844869373,0.001,True
17,GI_left,2,0.1451917943442277,0.37608720687171315,2,-11.834661735789856,0.0,True
18,Hipp_CA1_A_left,3,0.0,1.268156339059103,1,-17.7026270409216,0.0,True
19,Hipp_CA2_left,3,0.0,-0.30211732500701427,1,-11.222973358069172,0.0,True
20,Hipp_CA3_A_left,3,0.17280148499173265,-0.9874983582711729,2,-6.953197739716138,0.0,True
21,Hipp_CA3_P_left,3,0.0,-0.32278670434796913,1,-10.999145554638684,0.0,True
22,Hipp_dentegyrus_A_left,3,0.12003817693128316,-0.6100318955739144,2,-8.818471981153403,0.0,True
23,Hipp_dentegyrus_P_left,3,0.26218307036495436,-1.271675549481331,2,-5.10563906861397,0.0,True
24,Hipp_FC_left,3,0.1681857215639606,-1.2159252942132897,2,-6.0425067700344215,0.002,True
25,Hipp_Sub_A_left,3,0.25430735752444156,0.20444823059472816,2,-11.124823154806686,0.0,True
26,Hipp_Sub_P_left,4,0.5564139889081365,-0.6277124486864558,2,-3.4580236678696594,0.009,True
27,Hypothalamus_left,1,0.0,-0.07228155857711688,1,-10.75514438210631,0.0,True
28,IL_left,6,0.41578709002240444,-0.34162475706158857,2,-5.376539895296856,0.0,True
29,Inferior_Colliculus_left,5,0.4984686045357233,-1.731628314547966,2,-2.962580701885696,0.018,True
30,LPtA_left,3,0.0,1.6374410569232785,1,-19.151726268241447,0.0,True
31,LSeptn_left,1,0.32100295730297956,0.1795863190493064,2,-6.7995763928271495,0.0,True
32,M1_left,6,0.4755899006864285,-1.0112760136848105,2,-3.840338139078979,0.004,True
33,M2_left,6,0.2986306015548431,0.5638907647492396,2,-9.128187780527751,0.0,True
34,MPtA_left,3,0.0,1.9164119219413274,1,-20.744403032024564,0.0,True
35,Piriform_left,1,0.0,1.3401194838611945,1,-14.988498353618176,0.0,True
36,PRh_left,4,0.20935811108829727,-0.558532644925439,2,-6.655275252606371,0.0,True
37,PrL_left,6,0.14080939643221835,0.6446865749071437,2,-10.79869209139988,0.0,True
38,PtPD_left,3,0.0,1.090231421021111,1,-16.37106929736535,0.0,True
39,Rest_of_Midbrain_left,3,0.22712728356184786,-1.027054433833522,2,-6.520221276927959,0.001,True
40,RSD_left,3,0.344987874247058,0.30774942274494016,2,-9.625214372564276,0.0,True
41,RSGb_left,3,0.44397195521387933,-1.4955195078391528,2,-3.0259077021894334,0.012,True
42,RSGc_left,3,0.4286719871393254,0.42006955923256256,2,-9.499467232858008,0.0,True
43,S1BF_left,2,0.6539059564279966,-2.5652097400425635,3,-0.04938218931791085,0.963,False
44,S1DZ0_left,2,0.0,1.2254564174013305,1,-17.423905406384794,0.0,True
45,S1DZ_left,2,0.33021119094862095,-0.8809106875125605,2,-6.6424181949964645,0.0,True
46,S1FL_left,2,0.4584318228594775,-1.95003808381068,2,-2.5714333911156264,0.026,True
47,S1HL_left,6,0.6634130502062079,-1.5656721270026495,3,-1.6510744148409144,0.069,False
48,S1J_left,2,0.0,1.4096235695881922,1,-17.72674703540484,0.0,True
49,S1Tr_left,3,0.23747747947720566,0.6391683010649016,2,-12.338552295541456,0.0,True
50,S1ULp_left,2,0.0,0.30050103801846617,1,-13.72014113338507,0.0,True
51,S2_left,2,0.2696172778378644,-0.34231301123960167,2,-8.178837404171759,0.0,True
52,SaA_left,1,0.16301561173386825,0.5785335981624058,2,-10.974449627358375,0.0,True
53,SaM_left,1,0.0,0.4733067702633489,1,-12.60648511902954,0.0,True
54,SaP_left,1,0.0,0.30818794336298133,1,-12.004384534665906,0.0,True
55,Superior_Colliculus_left,5,0.24417653646774884,-0.942314736949193,2,-7.286971990469327,0.0,True
56,TeA_left,4,0.5413587561465953,0.5832022261056016,2,-4.5385443931243845,0.001,True
57,Thalamus_A_left,1,0.0,0.0054664974586123025,1,-10.694070627069332,0.0,True
58,Thalamus_P_left,1,0.49630901013279516,-2.1001857574641667,2,-1.4090597284698103,0.113,False
59,V1B_left,4,0.5738587703204452,-0.7149172441701873,2,-3.5474128404620293,0.006,True
60,V1_left,3,0.4215849100541137,0.4967930781301887,2,-8.360548949870688,0.0,True
61,V2L_left,3,0.4509604557632999,0.07437208413186785,2,-7.17941687933682,0.0,True
62,V2ML_left,3,0.38023322532059256,1.1214121555741081,2,-11.237105680746696,0.0,True
63,VP_mfb_left,1,0.0,1.4399663044733277,1,-14.638836104451043,0.0,True
64,Acumbens_right,1,0.4901050356214669,-0.0030051007125332335,2,-5.824876370057755,0.0,True
65,AID_right,2,0.0,0.27022119408920037,1,-13.208313201388009,0.0,True
66,AIP_right,2,0.29350894987142806,0.1627577977673779,2,-9.88020323775278,0.0,True
67,AIV_right,2,0.11995416231275058,0.8327416460336733,2,-14.353856602563537,0.0,True
68,Amygdala_right,1,0.3081013504897505,0.08846218707472096,2,-6.780379653251754,0.0,True
69,Brainstem_right,4,0.18088475010559957,1.0831880626820565,2,-9.3170311051456,0.0,True
70,Central_Gray_right,5,0.0,-0.34391592133037474,1,-12.29876291340077,0.0,True
71,Cerebellum_right,5,0.3870856598446414,-1.4905151663060459,2,-4.267420187307417,0.0,True
72,Cg_right,6,0.12189208130277684,1.855447976801775,2,-15.142591917505511,0.0,True
73,DI_right,2,0.0,0.6391002641520339,1,-13.833366873242026,0.0,True
74,DLEnt_right,5,0.16537098460162614,-0.42487232389918483,2,-8.892716635531206,0.0,True
75,Ect_right,5,0.0,-0.053581785219153265,1,-10.752483484594412,0.0,True
76,GI_right,2,0.0,0.6280006916775289,1,-14.579056215498312,0.0,True
77,Hipp_CA1_A_right,5,0.3203642326195465,0.7898556195985009,2,-10.726393886715485,0.0,True
78,Hipp_CA1_P_right,5,0.11981087129988277,0.7204814472026365,2,-12.276958513696139,0.0,True
79,Hipp_CA2_right,5,0.24844185403036645,0.316941135591068,2,-10.100183605246743,0.0,True
80,Hipp_CA3_A_right,5,0.2944714735662598,-0.3390609711437446,2,-6.761945053825966,0.0,True
81,Hipp_CA3_P_right,5,0.0,1.0769275410567225,1,-14.701171585640648,0.0,True
82,Hipp_dentegyrus_A_right,5,0.25347865862941676,0.9183021025206494,2,-11.491273276880161,0.0,True
83,Hipp_dentegyrus_P_right,5,0.0,1.7423117903094756,1,-18.04434452798173,0.0,True
84,Hipp_FC_right,3,0.4581987673276352,-0.9253654779250593,2,-4.615209141768279,0.003,True
85,Hipp_Sub_A_right,5,0.3058177416203526,0.9913509091421612,2,-12.199481887742841,0.0,True
86,Hipp_Sub_P_right,5,0.09831942853336972,1.1221550723545601,2,-14.928179876501117,0.0,True
87,Hypothalamus_right,1,0.0,-0.5140109940975917,1,-9.354055485329514,0.0,True
88,IL_right,6,0.4710920911818618,-0.40551106504592394,2,-5.315400321565999,0.0,True
89,Inferior_Colliculus_right,5,0.0,-0.8764490549148993,1,-9.008918496460748,0.0,True
90,LSeptn_right,1,0.14930469311061767,1.2458129932097424,2,-11.51235685767792,0.0,True
91,M1_right,6,0.3705868853697326,0.8276669701044571,2,-8.123874295628546,0.0,True
92,M2_right,6,0.40556034763976867,1.2285240259696852,2,-9.369761324495839,0.0,True
93,Olfactory_Bulb_right,6,0.4999623012173514,-1.2001638100871623,2,-4.09465965229698,0.006,True
94,Piriform_right,1,0.5633536922298215,-0.612020134308806,2,-3.3822826717649592,0.005,True
95,PrL_right,6,0.24793888854184687,0.6973890961095396,2,-9.586780581816399,0.0,True
96,Rest_of_Midbrain_right,5,0.0,-0.47845782923834335,1,-10.73890346375539,0.0,True
97,RSD_right,3,0.47311935446784803,-0.8420744550220924,2,-4.891351279220914,0.002,True
98,RSGb_right,3,0.2299982446071841,1.1186640894471485,2,-14.163647856117372,0.0,True
99,RSGc_right,3,0.4493711652536262,0.12032697293131768,2,-8.174910397306347,0.0,True
100,S1BF_right,6,0.4272335156054433,-1.3667320803044216,2,-2.892633915770686,0.015,True
101,S1DZ_right,6,0.3333027304808417,-0.4520443113563815,2,-5.494191915886255,0.002,True
102,S1FL_right,6,0.18538790885436607,-0.33908509576418505,2,-6.976034916856354,0.0,True
103,S1HL_right,6,0.4382143594203298,-0.400380265894731,2,-4.8266628421980835,0.001,True
104,S1ULp_right,2,0.32430739225361993,-0.14218031313646592,2,-8.882543686925228,0.0,True
105,S2_right,2,0.11501939450069698,0.5429392502325933,2,-13.429830346668709,0.0,True
106,SaA_right,1,0.4013357400390022,-1.0580469155652978,2,-4.119128534711782,0.003,True
107,SaM_right,1,0.2497909923465892,-0.9693873279643445,2,-4.820552372201921,0.003,True
108,SaP_right,1,0.1949751406090866,-0.24462416686514848,2,-7.692068485576776,0.0,True
109,Superior_Colliculus_right,5,0.1865151826060657,-0.3673306787402567,2,-9.517954955198023,0.0,True
110,TeA_right,5,0.3793064134630453,1.0303601903800048,2,-10.382651123471026,0.0,True
111,Thalamus_A_right,1,0.0,-0.47952873591577644,1,-9.68242847326157,0.0,True
112,Thalamus_P_right,1,0.6321069232245202,-2.2325690633240516,3,-0.3215041614977624,0.829,False
113,VP_mfb_right,1,0.12490949786578054,2.097115902445702,2,-16.71286627038827,0.0,True
