node_idx,roi_name,module,participation_coef,within_module_zscore,node_role,pc_z_score,pc_p_value,pc_significant
0,Acumbens_left,1,0.0,0.20373871960438222,1,-9.350959286260764,0.001,True
1,AID_left,2,0.4791633886641615,-0.25401052140414254,2,-5.840838719647379,0.0,True
2,AIP_left,2,0.3844591253238767,-0.4405338645305945,2,-6.066685873569742,0.001,True
3,AIV_left,1,0.38478712357218114,0.4648568540963535,2,-7.0309674252208,0.0,True
4,Amygdala_left,3,0.4982538435907585,-0.9009441149875662,2,-3.212474230163322,0.011,True
5,Au1_left,4,0.43635987361874895,-0.605721845259733,2,-4.233924524133861,0.006,True
6,AUD_left,4,0.0,0.6631968224749862,1,-12.144854143736033,0.0,True
7,AuV_left,5,0.3402753534009234,-1.710164204217844,2,-2.649334464526601,0.047,True
8,Brainstem_left,5,0.0,-0.9735964196283193,1,-8.444124536355487,0.001,True
9,Cent_Gray_left,5,0.14266810319948864,-0.019706031123634043,2,-10.55077104234852,0.0,True
10,Cerebellum_left,5,0.0,-1.7440936274860408,1,-5.914476873116051,0.002,True
11,Cg_left,1,0.204212957235538,0.14099836066404614,2,-7.160267662919757,0.0,True
12,DI_left,2,0.20742548112752823,1.3911057355736396,2,-14.795749235187321,0.0,True
13,DLEnt_left,5,0.13257362744009782,-0.278457275477793,2,-10.559884382100872,0.0,True
14,Ect_left,5,0.0,-0.7974056379442753,1,-10.19259794317056,0.0,True
15,Fr3_left,2,0.24397253829958832,0.03746175782595056,2,-9.18003766430616,0.0,True
16,GIDI_left,2,0.5436500507452863,-1.8420501654797699,2,-1.701329417015788,0.046,True
17,GI_left,2,0.0,1.7526813641610282,1,-18.377717534574646,0.0,True
18,Hipp_CA1_A_left,4,0.127572307177664,1.4266703636969686,2,-14.023453913920576,0.0,True
19,Hipp_CA2_left,4,0.0,-0.31925075452699303,1,-8.508231406823125,0.0,True
20,Hipp_CA3_A_left,4,0.0,-0.4170638439487569,1,-8.604779012317545,0.0,True
21,Hipp_CA3_P_left,4,0.0,-0.6344776146328778,1,-6.716049588881666,0.002,True
22,Hipp_dentegyrus_A_left,4,0.0,0.4395328578002621,1,-12.443839725470404,0.0,True
23,Hipp_dentegyrus_P_left,4,0.4714282124295055,-1.6947187600269302,2,-1.3563000778400398,0.102,False
24,Hipp_FC_left,4,0.1870207238549142,-0.974736974190725,2,-5.457870564136079,0.001,True
25,Hipp_Sub_A_left,4,0.21017787001300758,-0.15382224095465896,2,-7.69185537464074,0.0,True
26,Hipp_Sub_P_left,5,0.2854915301813268,-0.46885817489472653,2,-8.039025399655984,0.0,True
27,Hypothalamus_left,3,0.0,0.9951707547830302,1,-8.254130979685222,0.0,True
28,IL_left,1,0.0,0.6957852858759319,1,-10.908112030524501,0.0,True
29,Inferior_Colliculus_left,5,0.0,0.19074631904737108,1,-13.859803436871168,0.0,True
30,LPtA_left,4,0.0,1.7099913435062744,1,-16.754381444598838,0.0,True
31,LSeptn_left,1,0.14442296419266698,0.514292532115574,2,-9.222367488386773,0.0,True
32,M1_left,2,0.5519954963047302,-0.9634650391435535,2,-3.63457420306876,0.005,True
33,M2_left,1,0.37365053749374466,-0.6278103997600524,2,-4.312861837492311,0.001,True
34,MPtA_left,4,0.22194753089014807,1.3144822386794837,2,-12.042329932379772,0.0,True
35,Piriform_left,1,0.4602818836625806,-1.0216340705868276,2,-3.278468546150275,0.01,True
36,PRh_left,5,0.0,-1.3310930970163606,1,-7.292290003593775,0.0,True
37,PrL_left,1,0.0,1.0417854027093332,1,-12.142952438696112,0.0,True
38,PtPD_left,4,0.0,1.2601163055054505,1,-14.366530172899493,0.0,True
39,Rest_of_Midbrain_left,4,0.0,-1.0927326177464942,1,-6.132433427601001,0.002,True
40,RSD_left,4,0.0,-0.12471724357910263,1,-9.250786066073676,0.0,True
41,RSGb_left,5,0.337653697239064,-1.704317064853727,2,-2.7737391590882,0.04,True
42,RSGc_left,4,0.13362389204284852,0.4718282714629677,2,-10.893491237692118,0.0,True
43,S1BF_left,4,0.3732314467753628,-1.2202183446897097,2,-3.5497779605564093,0.009,True
44,S1DZ0_left,2,0.0,0.03197565074933472,1,-11.153271967604,0.0,True
45,S1DZ_left,2,0.2873869850711601,-0.5940299389781786,2,-6.33104876200148,0.0,True
46,S1FL_left,2,0.48524755989907153,-1.3075730333674889,2,-2.654410382610501,0.018,True
47,S1HL_left,4,0.664306388873871,-1.3608630474230021,3,-0.7171439733125047,0.484,False
48,S1J_left,2,0.0,0.9423344660252426,1,-15.5658275991481,0.0,True
49,S1Tr_left,4,0.0,0.7626651173464721,1,-13.690816820141313,0.0,True
50,S1ULp_left,2,0.0,0.2947770246244564,1,-12.155283683798766,0.0,True
51,S2_left,2,0.08451410748043764,1.0093630771792217,2,-15.00255354394495,0.0,True
52,SaA_left,1,0.431707934298202,-1.0330599659502624,2,-2.988509816650478,0.016,True
53,SaM_left,3,0.49998957799939214,-0.24499903363297293,2,-3.956818571911389,0.003,True
54,SaP_left,3,0.42318046213735316,0.06216066299332508,2,-3.6106253895005325,0.01,True
55,Superior_Colliculus_left,5,0.0,0.37507745187000147,1,-13.82258651044708,0.0,True
56,TeA_left,5,0.3179543093071532,-0.39811359008369956,2,-7.929284724744808,0.0,True
57,Thalamus_A_left,3,0.0,1.4355955890574432,1,-8.846830596508225,0.0,True
58,Thalamus_P_left,3,0.4283612962390436,-1.6676565437695983,2,-1.6579152071763266,0.057,False
59,V1B_left,4,0.49779773279108486,-1.2744158570419357,2,-2.469693519437764,0.021,True
60,V1_left,4,0.2526580666536721,0.9746436509981351,2,-10.23035598636697,0.0,True
61,V2L_left,4,0.42958938622889853,-0.5701074551069609,2,-3.975203926720675,0.003,True
62,V2ML_left,4,0.32398248244297145,1.040569264323622,2,-9.361466946012081,0.0,True
63,VP_mfb_left,1,0.2523386859511486,-0.2965223117224504,2,-6.130820725292008,0.002,True
64,Acumbens_right,1,0.0,1.6924695111180397,1,-14.623965061448196,0.0,True
65,AID_right,2,0.13750793037679543,0.8005357910877992,2,-12.090158718182831,0.0,True
