node_idx,roi_name,module,participation_coef,within_module_zscore,node_role,pc_z_score,pc_p_value,pc_significant
0,Acumbens_left,1,0.0,0.30929813107288967,1,-8.493921181525412,0.0,True
1,AID_left,2,0.0,0.9505476155290739,1,-11.977378524678757,0.0,True
2,AIP_left,2,0.0,0.5985106474977414,1,-12.014130282751994,0.0,True
3,AIV_left,2,0.4505922247983837,-0.9498996554125729,2,-2.8754708681583763,0.023,True
4,Amygdala_left,2,0.4719711697283925,-1.5319710138316571,2,-2.5395575539444595,0.025,True
5,Au1_left,3,0.22888130910409765,-0.3236426892009661,2,-5.182539908346438,0.004,True
6,AUD_left,3,0.0,0.6665873245847185,1,-10.955248172367838,0.0,True
7,AuV_left,3,0.6083790934232486,-1.5690452062492097,2,0.20271942478403776,0.882,False
8,Brainstem_left,4,0.0,0.024629597209237488,1,-6.876526233894968,0.001,True
9,Cent_Gray_left,4,0.3855912220289407,-0.056188486844204244,2,-3.506041362562117,0.005,True
10,Cerebellum_left,4,0.0,-1.7061669524226448,1,-4.378800848190116,0.01,True
11,Cg_left,1,0.0,1.3248532335063992,1,-10.848207225936775,0.0,True
12,DI_left,2,0.0,1.1020528725366296,1,-12.583235688436766,0.0,True
13,DLEnt_left,4,0.16253898489531038,1.317812647034188,2,-6.967416631336673,0.001,True
14,Ect_left,4,0.0,-0.22406860354360641,1,-7.391475795455087,0.0,True
15,Fr3_left,2,0.21367237232978387,-0.35951614177382346,2,-5.06514240423792,0.003,True
16,GIDI_left,2,0.2589499628481282,-1.2569464699953234,2,-4.15341427038106,0.004,True
17,GI_left,2,0.0,1.1649358994919612,1,-11.360234701479026,0.0,True
18,Hipp_CA1_A_left,3,0.0,0.89716464495791,1,-11.698673601144257,0.0,True
19,Hipp_CA2_left,3,0.0,0.19511281674236583,1,-8.963834802664621,0.0,True
20,Hipp_CA3_A_left,3,0.19154087822401733,-0.6650299788413506,2,-4.603093117955432,0.005,True
21,Hipp_CA3_P_left,3,0.0,-0.34197005963338345,1,-6.9120303986947205,0.002,True
22,Hipp_dentegyrus_A_left,3,0.0,0.20388746308464847,1,-10.045559605008872,0.0,True
23,Hipp_dentegyrus_P_left,3,0.4998007976589851,-1.3364592506061392,2,-1.625569186092383,0.084,False
24,Hipp_FC_left,3,0.17433205761072257,-0.63011048842928,2,-5.0083590136633855,0.002,True
25,Hipp_Sub_A_left,3,0.34184700824412007,-0.13417380191461148,2,-5.2645653324115615,0.002,True
26,Hipp_Sub_P_left,4,0.3841559516518518,-0.03621058864199924,2,-4.250153628338283,0.002,True
27,Hypothalamus_left,1,0.0,-0.6292664534701842,1,-6.550415117079059,0.0,True
28,IL_left,1,0.0,1.2560012461943406,1,-10.968666364017785,0.0,True
29,Inferior_Colliculus_left,4,0.0,0.9838868725968725,1,-8.171131700144475,0.001,True
30,LPtA_left,3,0.0,0.839339002065765,1,-11.063732568174593,0.0,True
31,LSeptn_left,1,0.0,0.7097688973109993,1,-9.672136599155248,0.0,True
32,M1_left,1,0.4083319422681255,-0.44673702242973795,2,-3.1197799683755143,0.009,True
33,M2_left,1,0.0,0.8831044987228315,1,-10.033544736269292,0.0,True
34,MPtA_left,3,0.0,2.2471897653347797,1,-16.694125207273284,0.0,True
35,Piriform_left,2,0.21279554487826713,-0.6272993172502938,2,-5.567726201857517,0.001,True
36,PRh_left,4,0.0,-0.8258749760324062,1,-6.001913483872232,0.001,True
37,PrL_left,1,0.0,1.0435404070167444,1,-9.796602087456307,0.0,True
38,PtPD_left,3,0.0,1.0809152429621152,1,-11.116394063033296,0.0,True
39,Rest_of_Midbrain_left,3,0.2910227183670451,-0.9452243938449243,2,-3.1399728145788,0.01,True
40,RSD_left,3,0.0,0.30328029539148793,1,-9.258383557270136,0.0,True
41,RSGb_left,3,0.47536826369780927,-1.2432687065497279,2,-1.316365578210015,0.113,False
42,RSGc_left,3,0.17409248468827132,0.4770258741618593,2,-8.200179586983486,0.0,True
43,S1BF_left,3,0.6281809069337118,-1.5225475137537334,3,0.04378094937197684,0.965,False
44,S1DZ0_left,2,0.0,0.06691177541874539,1,-7.310768776439898,0.001,True
45,S1DZ_left,2,0.5699491514536206,-1.2272231822117454,2,-1.2988426420534418,0.132,False
46,S1FL_left,1,0.665408806285539,-1.7877200944393579,3,0.1150206093937414,0.926,False
47,S1HL_left,3,0.4813831468018551,-0.9034508964973864,2,-2.3234797214090013,0.039,True
48,S1J_left,2,0.0,1.126308603056227,1,-11.345664792152272,0.0,True
49,S1Tr_left,3,0.0,0.9465924031926181,1,-11.729623213922197,0.0,True
50,S1ULp_left,2,0.15733590614979798,0.41913182266380017,2,-8.560664749828154,0.0,True
51,S2_left,2,0.0,0.3170669371100408,1,-9.918722438911304,0.0,True
52,SaA_left,1,0.4232931681456409,-1.0149807751243607,2,-2.3286317406547163,0.023,True
53,SaM_left,1,0.18999887597940035,-0.38560170725364784,2,-6.55446338573245,0.001,True
54,SaP_left,1,0.40865467459743265,-1.1844024081094473,2,-2.676422975383698,0.016,True
55,Superior_Colliculus_left,4,0.38676765572503,0.010111016266659098,2,-3.8458770202190986,0.004,True
56,TeA_left,4,0.5484279924499615,0.11672054965202702,2,-2.7124436675452817,0.016,True
57,Thalamus_A_left,1,0.15296936798765215,-0.5135484395872436,2,-5.45435768730856,0.003,True
58,Thalamus_P_left,1,0.475875569193593,-1.865585645889633,2,-0.8580957436619969,0.362,False
