node_idx,roi_name,module,participation_coef,within_module_zscore,node_role,pc_z_score,pc_p_value,pc_significant
0,Acumbens_left,1,0.0,1.2368749121331715,1,-9.409252334900287,0.0,True
1,AID_left,2,0.4233259509381746,-1.0375189066638084,2,-3.5600795687407287,0.007,True
2,AIP_left,1,0.46951091535619927,-0.006519644070691844,2,-3.7611908805311205,0.001,True
3,AIV_left,1,0.37208421812495107,-0.05220349762027647,2,-4.3726141022676295,0.004,True
4,Amygdala_left,1,0.0,-0.13882949819987267,1,-8.178848119965343,0.0,True
5,Au1_left,3,0.23957453689110264,-0.23585680345551951,2,-4.816854155346272,0.002,True
6,AUD_left,3,0.0,0.5517446398934719,1,-8.175118130388382,0.0,True
7,AuV_left,3,0.4994190771367433,-1.7417440180895858,2,-0.5882156762340683,0.441,False
8,Brainstem_left,4,0.0,-0.5083603557042433,1,-6.457039288353423,0.0,True
9,Cent_Gray_left,4,0.2026925568463286,0.29884698242682245,2,-5.212535824204385,0.0,True
10,Cerebellum_left,4,0.3499876363595569,-1.651610032391078,2,-1.5873340773439082,0.088,False
11,Cg_left,1,0.0,1.0521562923859629,1,-8.539806773085365,0.0,True
12,DI_left,2,0.39100562009095274,-0.8932661499528183,2,-4.252283961286927,0.002,True
13,DLEnt_left,4,0.0,0.5446040276806886,1,-7.370161455243504,0.0,True
14,Ect_left,4,0.24565892630262343,-0.8376732751740492,2,-3.8451841160517968,0.006,True
15,Fr3_left,2,0.2167251145935909,-0.9361969625323894,2,-5.505572202999318,0.0,True
16,GIDI_left,1,0.48273066999808756,-1.4229564614074208,2,-1.6876437209020245,0.073,False
17,GI_left,2,0.19426254038156587,-0.27651341190394946,2,-5.879169751918164,0.003,True
18,Hipp_CA1_A_left,3,0.0,1.2602841950940828,1,-10.022762681328746,0.0,True
19,Hipp_CA2_left,3,0.0,0.08606070116820602,1,-7.049430130853407,0.001,True
20,Hipp_CA3_A_left,3,0.14255931274484923,-0.28976989760627847,2,-5.479808520275969,0.003,True
21,Hipp_CA3_P_left,3,0.0,-0.5552893801720535,1,-5.325566796049527,0.003,True
22,Hipp_dentegyrus_A_left,3,0.0,0.8195247615233047,1,-9.5969010737615,0.0,True
23,Hipp_dentegyrus_P_left,3,0.6169882909470932,-1.7228837657560558,2,0.2650620766686282,0.915,False
24,Hipp_FC_left,3,0.29610759079057525,-0.5879682577443008,2,-4.157029605361774,0.003,True
25,Hipp_Sub_A_left,3,0.549300876306937,-0.9214086552715456,2,-1.233040537472201,0.169,False
26,Hipp_Sub_P_left,4,0.40203843688925334,0.003224756762709143,2,-3.4735613550725994,0.008,True
27,Hypothalamus_left,1,0.0,-0.6131175140534889,1,-6.352502115647957,0.002,True
28,IL_left,1,0.0,1.476283731690614,1,-9.690405798084083,0.0,True
29,Inferior_Colliculus_left,4,0.0,1.4183177657415547,1,-9.614342941993048,0.001,True
30,LPtA_left,3,0.0,1.770848011100714,1,-11.286252044649506,0.0,True
31,LSeptn_left,1,0.0,1.0106828601419173,1,-9.897224411150987,0.0,True
32,M1_left,1,0.5453899433646902,-0.49334715815623453,2,-2.1316193629457296,0.035,True
33,M2_left,1,0.21857712412432517,0.10690589632110026,2,-5.011198796832168,0.001,True
34,MPtA_left,3,0.15785295314663195,1.459518228752477,2,-8.444483743484993,0.0,True
35,Piriform_left,1,0.0,0.5425711258559899,1,-9.045807411206827,0.0,True
36,PRh_left,4,0.0,-0.8948121290779288,1,-5.379663728721624,0.005,True
37,PrL_left,1,0.0,1.137069229821671,1,-8.840281409678163,0.0,True
38,PtPD_left,3,0.1770063077532802,0.7654632179743764,2,-6.565259804078647,0.0,True
39,Rest_of_Midbrain_left,3,0.0,-0.9680869251561162,1,-4.413567144875277,0.012,True
40,RSD_left,3,0.0,-0.5845443584902824,1,-5.39060142628544,0.004,True
41,RSGb_left,4,0.4784417909663068,-1.7739979546111575,2,-1.101030358252866,0.153,False
42,RSGc_left,3,0.1507780291917461,0.9618664227386476,2,-8.471944485310951,0.0,True
43,S1BF_left,3,0.2896155465393634,-1.172155093456463,2,-2.8303694373881387,0.017,True
44,S1DZ0_left,2,0.17765706902860645,-0.34863345640498145,2,-6.396036170158604,0.001,True
45,S1DZ_left,2,0.5635147405562864,-2.202985288636327,2,-1.078693734225661,0.243,False
46,S1FL_left,1,0.6633219519792607,-1.9176472663770554,3,0.2174897895555676,0.841,False
47,S1HL_left,3,0.22896778703157228,-0.37209956338633426,2,-4.968075408586876,0.0,True
48,S1J_left,2,0.0,1.7528996276896815,1,-11.509407651484047,0.0,True
49,S1Tr_left,3,0.0,1.2036560655969535,1,-10.379267139418983,0.0,True
50,S1ULp_left,2,0.1599133267143421,0.1722079679058184,2,-7.4296076540751725,0.0,True
51,S2_left,2,0.3207143406166376,-0.8611836911175659,2,-4.397275195111761,0.003,True
52,SaA_left,1,0.0,-0.29942149358726683,1,-6.296283929187645,0.001,True
53,SaM_left,1,0.0,-0.41496453521106225,1,-7.032568302797656,0.001,True
54,SaP_left,1,0.0,-0.06896961811748772,1,-8.286254855619255,0.0,True
55,Superior_Colliculus_left,4,0.0,1.2420501618906186,1,-7.977006823970267,0.0,True
56,TeA_left,4,0.49127992944465937,-0.16399572817216915,2,-2.8911878094859254,0.019,True
57,Thalamus_A_left,1,0.0,-0.6402648897727085,1,-6.126986653767822,0.002,True
58,Thalamus_P_left,1,0.42921882216769436,-1.737586674523337,2,-1.5400120796225545,0.053,False
59,V1B_left,5,0.6086478741192577,-1.594378972045949,2,-0.38837679847977274,0.634,False
60,V1_left,3,0.4950464907704477,-0.4873533148868168,2,-2.6653206415663933,0.02,True
61,V2L_left,5,0.58140230929972,-1.1907016554465581,2,-1.2198314554199599,0.173,False
62,V2ML_left,3,0.5067047596574674,0.738549296661711,2,-3.774439681399846,0.007,True
63,VP_mfb_left,1,0.0,0.8688278056940059,1,-9.014585625366903,0.0,True
64,Acumbens_right,1,0.0,1.6947610412183183,1,-10.332427353629882,0.0,True
65,AID_right,2,0.0,0.4722980972855612,1,-8.59240709983694,0.0,True
66,AIP_right,2,0.33277781447924704,0.3225263272289178,2,-5.883914008316552,0.0,True
67,AIV_right,2,0.18605147516351628,-0.1552199381950167,2,-6.256115889952399,0.0,True
68,Amygdala_right,1,0.18460508039116308,0.2518803632733208,2,-6.537967883067054,0.0,True
69,Brainstem_right,4,0.0,0.2615454178084004,1,-7.330326137776847,0.0,True
70,Central_Gray_right,4,0.0,0.7001183670869715,1,-7.14003856239275,0.0,True
71,Cerebellum_right,4,0.0,-1.0010941947178895,1,-5.28859141983324,0.004,True
72,Cg_right,1,0.3097246675932527,0.5464269691972793,2,-5.271379189958496,0.001,True
73,DI_right,2,0.0,1.0632225833612574,1,-9.389677579838079,0.0,True
74,DLEnt_right,5,0.4216577016023785,-1.1570148860206795,2,-2.3144978321802046,0.014,True
75,Ect_right,5,0.0,0.25162671303417833,1,-8.084563063480672,0.0,True
76,GI_right,2,0.0,1.0629543890032742,1,-9.411977582580652,0.0,True
77,Hipp_CA1_A_right,5,0.18403426626320207,0.40608261644006527,2,-6.711144122852341,0.0,True
78,Hipp_CA1_P_right,5,0.0,1.3926497513097358,1,-10.916928859150353,0.0,True
79,Hipp_CA2_right,5,0.2864868167568556,0.2778928419000357,2,-6.456307176410044,0.0,True
80,Hipp_CA3_A_right,5,0.2574324085882501,-0.7345403302577144,2,-3.8899039845949437,0.001,True
81,Hipp_CA3_P_right,5,0.11413022598725608,1.3958956851916984,2,-10.505233625023282,0.0,True
82,Hipp_dentegyrus_A_right,5,0.4696060941958091,-0.35700128544387183,2,-3.6203819829660526,0.008,True
83,Hipp_dentegyrus_P_right,5,0.1715621565303348,0.3590936260704138,2,-6.758296210788342,0.0,True
84,Hipp_FC_right,3,0.37573547054547785,-0.18381096495088173,2,-3.7822778137204454,0.006,True
85,Hipp_Sub_A_right,5,0.3985463597099208,0.9528346952681321,2,-6.30712366474422,0.0,True
86,Hipp_Sub_P_right,5,0.30361289334584474,0.019639392078084697,2,-4.8651212675952324,0.002,True
87,Hypothalamus_right,1,0.0,-0.4091751458571966,1,-7.105929362633723,0.0,True
88,IL_right,1,0.0,1.9646348570773864,1,-10.113921753936395,0.0,True
89,Inferior_Colliculus_right,4,0.0,1.3312836010747846,1,-9.255838641569483,0.0,True
90,LSeptn_right,1,0.0,0.29443897391277424,1,-7.644082900529512,0.001,True
91,M1_right,3,0.4285425617214714,-0.23547647661551419,2,-3.602149982418878,0.008,True
92,M2_right,1,0.4716351071962478,-0.027708320527413198,2,-3.1786826082026662,0.014,True
93,Olfactory_Bulb_right,1,0.0,1.0638062163216793,1,-8.737303584052249,0.0,True
94,Piriform_right,1,0.46625864993648347,-0.6783236434923926,2,-2.5397537211102965,0.031,True
95,PrL_right,1,0.0,1.1754349291897053,1,-8.279591284984866,0.0,True
96,Rest_of_Midbrain_right,5,0.0,-1.390094780725961,1,-3.8635291452735734,0.024,True
97,RSD_right,3,0.21507062382930586,-0.2018105862272549,2,-4.845854076957555,0.002,True
98,RSGb_right,3,0.2844000044587761,1.4043729062953691,2,-7.620398798333273,0.0,True
99,RSGc_right,3,0.0,1.879773624218813,1,-12.012087997347248,0.0,True
100,S1BF_right,3,0.3009706199295529,-1.2160661000822144,2,-2.9613079433455876,0.016,True
101,S1DZ_right,3,0.37990217123601466,-0.91747753778999,2,-2.6015666288703714,0.017,True
102,S1FL_right,3,0.4028802175436774,-0.92400860533395,2,-2.244529647522008,0.03,True
103,S1HL_right,3,0.0,0.416148233453038,1,-8.765909068973595,0.0,True
104,S1ULp_right,2,0.0,0.8959967223992084,1,-10.057032078798319,0.0,True
105,S2_right,2,0.0,0.9694120905331334,1,-10.040266491719423,0.0,True
106,SaA_right,1,0.3420199421547586,-1.5818575161861232,2,-1.6415062387428208,0.062,False
107,SaM_right,1,0.23025063255421963,-1.0150294272967644,2,-4.078983051818115,0.001,True
108,SaP_right,1,0.0,-0.44124090327280835,1,-6.194607107092203,0.0,True
109,Superior_Colliculus_right,4,0.40428839075011147,1.0315525893759632,2,-4.5946246748685295,0.003,True
110,TeA_right,5,0.14989363299145508,1.368016588648393,2,-9.745230465686477,0.0,True
111,Thalamus_A_right,1,0.0,-0.3734998045196681,1,-7.024828482440514,0.0,True
112,Thalamus_P_right,1,0.6058338135888109,-1.8805015571039538,2,-0.40156164689931323,0.63,False
113,VP_mfb_right,1,0.0,-0.20959063488167612,1,-6.846094668298612,0.0,True
