k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
2,1,,9.912280701754385,0.5946961376766144,0.29590510313800794,0.2878478482246267,A_positive
2,2,,7.9298245614035086,0.635016687228269,0.30100528808783145,0.25791031469792247,A_positive
2,1,,5.947368421052632,0.6007313643745218,0.1596104658406414,0.25782634773641144,A_negative
2,2,,7.9298245614035086,0.6963468061253204,0.23349960537710338,0.19680022537382766,A_negative
2,1,,17.842105263157894,0.5586289814242738,0.27027257221431217,0.39134890794474336,B
2,2,,15.859649122807017,0.6218553834462073,0.31129195324997144,0.32826580030494107,B
