k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
11,1,,9.912280701754385,0.6298162899091343,0.36381579073980963,0.27486279103704414,A_positive
11,2,,7.9298245614035086,0.6173148280166396,0.27858451117526845,0.26597219405840367,A_positive
11,3,,11.894736842105264,0.5901411972753678,0.33979961309914314,0.2992073254288633,A_positive
11,4,,9.912280701754385,0.6182176323390305,0.34900013934467633,0.2744820930655861,A_positive
11,5,,9.912280701754385,0.609218858517489,0.3336434687985632,0.27939154392364957,A_positive
11,6,,7.9298245614035086,0.628584591952744,0.2953753482178694,0.2594690571049432,A_positive
11,7,,7.9298245614035086,0.638458066124072,0.3122067610316876,0.25591921153181413,A_positive
11,8,,7.9298245614035086,0.5962715522719597,0.24525721027229327,0.2760769083292396,A_positive
11,9,,7.9298245614035086,0.6410070480558004,0.30304348772621426,0.2550592576690814,A_positive
11,10,,9.912280701754385,0.6174496280369536,0.3546798643355974,0.2770986941873319,A_positive
11,11,,11.894736842105264,0.5835875441592262,0.3358634134310951,0.3031265947016805,A_positive
11,1,,7.9298245614035086,0.7218672450853156,0.24250932123721056,0.19706042538309818,A_negative
11,2,,7.9298245614035086,0.6687289415767859,0.23641269539884985,0.23172255852503756,A_negative
11,3,,5.947368421052632,0.5836868681625128,0.15673929838470335,0.2690860848183253,A_negative
11,4,,7.9298245614035086,0.6673655948543924,0.23338997542522513,0.21050519531202888,A_negative
11,5,,7.9298245614035086,0.6542168317278008,0.23235702519286977,0.23464105657522258,A_negative
11,6,,7.9298245614035086,0.695865773718133,0.23664594382413282,0.2117507706786292,A_negative
11,7,,7.9298245614035086,0.7381897848313369,0.24036689978686712,0.1835184481590044,A_negative
11,8,,5.947368421052632,0.614277735520153,0.16655746078124684,0.26228207940720316,A_negative
11,9,,7.9298245614035086,0.7080239554737996,0.23513177669457264,0.2003727764481033,A_negative
11,10,,7.9298245614035086,0.6667124031050969,0.23891486949794327,0.20545639765708917,A_negative
11,11,,5.947368421052632,0.5824929994303576,0.15708129326736556,0.26785688151613324,A_negative
11,1,,15.859649122807017,0.6337391674736148,0.31267320385004316,0.3292722794079108,B
11,2,,15.859649122807017,0.6115689336184449,0.285960252030381,0.35394607682292145,B
11,3,,17.842105263157894,0.5482251129962221,0.2613533362536594,0.39805517696700254,B
11,4,,17.842105263157894,0.6086465604216513,0.3286788452669616,0.3481154421057461,B
11,5,,15.859649122807017,0.60107181158034,0.28243830933778985,0.3571611105014931,B
11,6,,13.87719298245614,0.6228575986292288,0.27223585504043857,0.3280785183470835,B
11,7,,13.87719298245614,0.6321901040306903,0.2966080602907921,0.3075304023347153,B
11,8,,15.859649122807017,0.5617144263248477,0.2501854738310096,0.3817353865885062,B
11,9,,13.87719298245614,0.6332998813329862,0.2820539839535016,0.32151277046523585,B
11,10,,17.842105263157894,0.610673444924202,0.3335386376424694,0.34340124220819374,B
11,11,,15.859649122807017,0.5422243149910867,0.2350271896700897,0.3876635802876904,B
