k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
8,1,,17.842105263157894,0.541857618854839,0.2611619376053909,0.40085224423950294,B
8,2,,15.859649122807017,0.6190122930609449,0.3103669283699987,0.33049770919707533,B
8,3,,17.842105263157894,0.544935698296336,0.2577210601880657,0.40095215183877586,B
8,4,,13.87719298245614,0.6332885992204415,0.2905842629590465,0.31228432821834423,B
8,5,,13.87719298245614,0.6096651491178793,0.2625175795927857,0.33992862373496563,B
8,6,,15.859649122807017,0.6210646492717891,0.302772534707367,0.3403249714637315,B
8,7,,15.859649122807017,0.6285478303047485,0.30864660771039404,0.3312378177264015,B
8,8,,17.842105263157894,0.581779294576182,0.2940857223836867,0.3733512031080238,B
