k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
13,1,,7.9298245614035086,0.6241959525436043,0.3223530348606111,0.2525260024687912,A_positive
13,2,,9.912280701754385,0.6319061537152306,0.3374005957028617,0.2781135915190662,A_positive
13,3,,11.894736842105264,0.5763057252283377,0.3283996710028797,0.3054548435593021,A_positive
13,4,,9.912280701754385,0.6147489658609974,0.33790194154192543,0.27875029435346643,A_positive
13,5,,11.894736842105264,0.6039146382063889,0.3619516217799485,0.2944998994074258,A_positive
13,6,,9.912280701754385,0.6074805181324632,0.2899990063443805,0.28989838822649244,A_positive
13,7,,9.912280701754385,0.5867694706236564,0.2988751176561611,0.2870754558446939,A_positive
13,8,,7.9298245614035086,0.6349417518239919,0.2990655992373822,0.2589120327342439,A_positive
13,9,,7.9298245614035086,0.6218610997138008,0.29559371009826724,0.25699945441100885,A_positive
13,10,,9.912280701754385,0.6284501222448362,0.36165125505292833,0.27309637099832373,A_positive
13,11,,9.912280701754385,0.5939646995977643,0.34930447036438667,0.2733356442722185,A_positive
13,12,,7.9298245614035086,0.6117157197185611,0.26018105765154087,0.2703156301490011,A_positive
13,13,,9.912280701754385,0.6216950751774208,0.35879159712644126,0.27375705422182334,A_positive
