k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
14,1,,7.9298245614035086,0.6176936366293857,0.22502897829325383,0.25488170704823837,A_negative
14,2,,7.9298245614035086,0.7486056191130692,0.24143407742283834,0.18488647428201296,A_negative
14,3,,7.9298245614035086,0.7252079830820548,0.2619438711817495,0.20418899573481655,A_negative
14,4,,7.9298245614035086,0.6979052301613702,0.2417041330132754,0.20765311998052824,A_negative
14,5,,7.9298245614035086,0.6464829538366925,0.2295243980887196,0.21883505834187233,A_negative
14,6,,7.9298245614035086,0.6755006947441584,0.22927621193852366,0.20394108324422752,A_negative
14,7,,9.912280701754385,0.78477794252411,0.30327034236144657,0.2007498214487562,A_negative
14,8,,7.9298245614035086,0.6594045463623993,0.22599293323740036,0.23381879249140278,A_negative
14,9,,5.947368421052632,0.611075505356217,0.16397470677436124,0.23150769115139344,A_negative
14,10,,7.9298245614035086,0.6945385383689342,0.2391666444159633,0.1931728614217188,A_negative
14,11,,7.9298245614035086,0.6796360584447257,0.24616997371310353,0.22524805144905743,A_negative
14,12,,5.947368421052632,0.567944412600092,0.15339272245046323,0.2813220081463866,A_negative
14,13,,7.9298245614035086,0.7148078800893203,0.256250504752013,0.2162777488296591,A_negative
14,14,,7.9298245614035086,0.5959035499737497,0.2112736747350638,0.2720467936909398,A_negative
