roi_index,roi_name,module,module_Q,module_significant
0,Acumbens_left,1,0.0676321425650927,True
1,AID_left,2,0.11828172210058947,True
2,AIP_left,2,0.11828172210058947,True
3,AIV_left,1,0.0676321425650927,True
4,Amygdala_left,1,0.0676321425650927,True
5,Au1_left,3,0.06657305527471995,True
6,AUD_left,4,0.12367225310737141,True
7,AuV_left,3,0.06657305527471995,True
8,Brainstem_left,3,0.06657305527471995,True
9,Cent_Gray_left,5,0.12939070055839885,True
10,Cerebellum_left,5,0.12939070055839885,True
11,Cg_left,6,0.08708328034880045,True
12,DI_left,2,0.11828172210058947,True
13,DLEnt_left,5,0.12939070055839885,True
14,DLO_left,6,0.08708328034880045,True
15,Ect_left,4,0.12367225310737141,True
16,Fr3_left,6,0.08708328034880045,True
17,GI_left,2,0.11828172210058947,True
18,Hipp_CA1_A_left,4,0.12367225310737141,True
19,Hipp_CA1_P_left,3,0.06657305527471995,True
20,Hipp_CA2_left,3,0.06657305527471995,True
21,Hipp_CA3_A_left,4,0.12367225310737141,True
22,Hipp_CA3_P_left,3,0.06657305527471995,True
23,Hipp_dentegyrus_A_left,4,0.12367225310737141,True
24,Hipp_dentegyrus_P_left,3,0.06657305527471995,True
25,Hipp_FC_left,4,0.12367225310737141,True
26,Hipp_Sub_A_left,4,0.12367225310737141,True
27,Hipp_Sub_P_left,4,0.12367225310737141,True
28,Hypothalamus_left,3,0.06657305527471995,True
29,IL_left,1,0.0676321425650927,True
30,Inferior_Colliculus_left,5,0.12939070055839885,True
31,LPtA_left,4,0.12367225310737141,True
32,LSeptn_left,1,0.0676321425650927,True
33,M1_left,6,0.08708328034880045,True
34,M2_left,6,0.08708328034880045,True
35,MPtA_left,4,0.12367225310737141,True
36,Piriform_left,1,0.0676321425650927,True
37,PRh_left,4,0.12367225310737141,True
38,PrL_left,1,0.0676321425650927,True
39,PtPD_left,4,0.12367225310737141,True
40,Rest_of_Midbrain_left,3,0.06657305527471995,True
41,RSD_left,4,0.12367225310737141,True
42,RSGb_left,5,0.12939070055839885,True
43,RSGc_left,4,0.12367225310737141,True
44,S1BF_left,4,0.12367225310737141,True
45,S1DZ0_left,6,0.08708328034880045,True
46,S1DZ_left,6,0.08708328034880045,True
47,S1FL_left,6,0.08708328034880045,True
48,S1HL_left,6,0.08708328034880045,True
49,S1J_left,6,0.08708328034880045,True
50,S1Tr_left,4,0.12367225310737141,True
51,S1ULp_left,2,0.11828172210058947,True
52,S2_left,2,0.11828172210058947,True
53,SaA_left,1,0.0676321425650927,True
54,SaM_left,3,0.06657305527471995,True
55,SaP_left,3,0.06657305527471995,True
56,Substantia_Nigra_left,3,0.06657305527471995,True
57,Superior_Colliculus_left,5,0.12939070055839885,True
58,TeA_left,4,0.12367225310737141,True
59,Thalamus_A_left,3,0.06657305527471995,True
60,Thalamus_P_left,3,0.06657305527471995,True
61,V1B_left,4,0.12367225310737141,True
62,V1_left,4,0.12367225310737141,True
63,V2L_left,4,0.12367225310737141,True
64,V2ML_left,4,0.12367225310737141,True
65,VP_mfb_left,1,0.0676321425650927,True
66,Acumbens_right,1,0.0676321425650927,True
67,AID_right,2,0.11828172210058947,True
68,AIP_right,2,0.11828172210058947,True
69,AIV_right,2,0.11828172210058947,True
70,Amygdala_right,2,0.11828172210058947,True
71,Brainstem_right,5,0.12939070055839885,True
72,Central_Gray_right,5,0.12939070055839885,True
73,Cerebellum_right,5,0.12939070055839885,True
74,Cg_right,6,0.08708328034880045,True
75,DI_right,2,0.11828172210058947,True
76,DLEnt_right,5,0.12939070055839885,True
77,Ect_right,5,0.12939070055839885,True
78,GI_right,2,0.11828172210058947,True
79,Hipp_CA1_A_right,5,0.12939070055839885,True
80,Hipp_CA1_P_right,5,0.12939070055839885,True
81,Hipp_CA2_right,5,0.12939070055839885,True
82,Hipp_CA3_A_right,5,0.12939070055839885,True
83,Hipp_CA3_P_right,5,0.12939070055839885,True
84,Hipp_dentegyrus_A_right,5,0.12939070055839885,True
85,Hipp_dentegyrus_P_right,5,0.12939070055839885,True
86,Hipp_FC_right,4,0.12367225310737141,True
87,Hipp_Sub_A_right,5,0.12939070055839885,True
88,Hipp_Sub_P_right,5,0.12939070055839885,True
89,Hypothalamus_right,3,0.06657305527471995,True
90,IL_right,1,0.0676321425650927,True
91,Inferior_Colliculus_right,5,0.12939070055839885,True
92,LSeptn_right,1,0.0676321425650927,True
93,M1_right,6,0.08708328034880045,True
94,M2_right,6,0.08708328034880045,True
95,Piriform_right,2,0.11828172210058947,True
96,PrL_right,1,0.0676321425650927,True
97,Rest_of_Midbrain_right,3,0.06657305527471995,True
98,RSD_right,4,0.12367225310737141,True
99,RSGb_right,4,0.12367225310737141,True
100,RSGc_right,4,0.12367225310737141,True
101,S1BF_right,6,0.08708328034880045,True
102,S1DZ_right,6,0.08708328034880045,True
103,S1FL_right,6,0.08708328034880045,True
104,S1HL_right,6,0.08708328034880045,True
105,S1ULp_right,2,0.11828172210058947,True
106,S2_right,2,0.11828172210058947,True
107,SaA_right,2,0.11828172210058947,True
108,SaM_right,2,0.11828172210058947,True
109,SaP_right,2,0.11828172210058947,True
110,Superior_Colliculus_right,5,0.12939070055839885,True
111,Thalamus_A_right,3,0.06657305527471995,True
112,Thalamus_P_right,3,0.06657305527471995,True
113,VP_mfb_right,1,0.0676321425650927,True
