k,state,Q_total,Q_z_score,n_modules,n_significant_modules,percent_significant,interpretation,analysis_time_seconds
7,0,0.6134533503841682,19.446607786276374,6,6,100.0,HIGHLY SIGNIFICANT,200.65750575065613
7,1,0.5735320011897861,18.972428463270223,6,6,100.0,HIGHLY SIGNIFICANT,199.4794418811798
7,2,0.6371608023895885,19.636888894219695,6,6,100.0,HIGHLY SIGNIFICANT,198.28986072540283
7,3,0.6465400377547781,16.5531959888512,8,8,100.0,HIGHLY SIGNIFICANT,199.1839849948883
7,4,0.6587340157361693,18.408496901538104,6,6,100.0,HIGHLY SIGNIFICANT,207.3852198123932
7,5,0.6154362459844188,17.83661152639597,7,7,100.0,HIGHLY SIGNIFICANT,204.12964606285095
7,6,0.6436721045558953,18.955918446118062,6,6,100.0,HIGHLY SIGNIFICANT,205.97500801086426
