k,state,Q_total,Q_z_score,n_modules,n_significant_modules,percent_significant,interpretation,analysis_time_seconds
4,0,0.5780643598175281,20.091004488866435,4,4,100.0,HIGHLY SIGNIFICANT,258.6882929801941
4,1,0.6274523040098233,19.080691863039355,6,6,100.0,HIGHLY SIGNIFICANT,258.0477011203766
4,2,0.6868806486898515,17.077245882043307,9,9,100.0,HIGHLY SIGNIFICANT,255.9017050266266
4,3,0.5926331539549727,20.048983888864086,6,6,100.0,HIGHLY SIGNIFICANT,256.59697914123535
